idCategoria;nombre;descripcion;estado;fechaCreacion
1;Empresa Digital;Soluciones digitales para modernizar y optimizar operaciones empresariales.;1;2021-03-09
2;Akros as a Service;Servicios diversificados ofrecidos como SaaS, PaaS, e IaaS.;1;2023-09-03
3;Infraestructura Digital;Componentes físicos y sistemas para infraestructura de TI.;1;2022-10-06
4;Ciberseguridad;Soluciones y servicios para proteger contra amenazas digitales.;1;2020-10-05
5;Akros Cloud;Servicios de computación en la nube y almacenamiento de datos.;1;2019-01-17
6;Hardware y Equipamiento Tecnológico;Venta y soporte de hardware y equipos tecnológicos.;1;2022-02-15
7;Consultoría y Estrategia Digital;Asesoramiento estratégico y consultoría en tecnología y transformación digital.;1;2022-02-26
8;Gestión de Datos y Almacenamiento;Servicios para el manejo eficiente de datos y opciones de almacenamiento seguro.;1;2020-05-23
9;Soluciones Móviles y Desarrollo de Apps;Desarrollo de aplicaciones móviles y soluciones personalizadas para dispositivos móviles.;1;2022-10-24
10;Plataformas de Comercio Electrónico;Creación y mantenimiento de plataformas para el comercio electrónico y negocios en línea.;1;2022-05-19
11;Servicios de Virtualización;Oferta de soluciones para la virtualización de recursos y servicios TI.;1;2021-02-07
12;Gestión de Redes y Comunicaciones;Gestión avanzada de redes corporativas y servicios de comunicación.;1;2018-03-20
13;Soluciones de Inteligencia Artificial;Implementación de soluciones basadas en inteligencia artificial para diversos sectores.;0;2019-07-01
14;Servicios de Automatización y Robótica;Automatización de procesos mediante robótica y software inteligente.;0;2019-06-16
15;Capacitación y Formación Tecnológica;Programas de capacitación en nuevas tecnologías y habilidades digitales.;0;2018-01-15

